term,pos,comment,translation_es,comment_es
limited edition,,,,
line-of-sight,Noun,,,
link,Noun,,enlace,
link,Verb,[Signal],,
linked device,Noun,[Signal] A mobile phone with a Signal account that is connected to a Signal Desktop account.,,
little,,,,
live,Adverb,,,
load,Noun,[Globaleaks],,
load,Verb,[Globaleaks] [Signal],cargar,
loading,Verb,[Globaleaks],,
locate,Noun,,,
located,,,,
location,Noun,,ubicación,(Sinónimo: localización)
lock,Verb,,,
lock icon,Noun,,,
log,Noun,[Signal] [Orbot],registro,
log,Verb,[Globaleaks],,
log data,Noun,,,
log file,Noun,,,
log in,Verb,,,
logged in,Adjective,[Globaleaks],,
logging,,,,
logging,Noun,,,
login,Noun,[Globaleaks],iniciar sesión,
logo,Noun,,,
logout,Noun,[Globaleaks],cerrar sesión,
long,Adjective,[Globaleaks],,
low latency,Noun,,,
macOS,Noun,[Signal],,
machine learning,Noun,,,
mail,,"In Português when you say ""Mail"" we understand it as ""snail mail"" that in Português means, ""correio""",,
mail,Noun,,,
mailbox,Noun,,,
mailing,,,,
mailing address,,,,
mailing list,Noun,,,
main menu,Noun,,,
maintain,Verb,,,
manifest,Noun,,,
manual,Adjective,,,
master key,Noun,,,
match,Verb,,,
match ,Verb,,,
matching,,,,
"mbps, MB/s",Noun,[Orbot] megabytes per second,"mbps, MB/s",megabit por segundo
mechanism,,,,
media,Noun,[Signal],media,
media message,Noun,[Signal],mensaje multimedia,
member,,,,
membership program,,,,
menu,Noun,,Menú,
menu bar,Noun,[Signal],,
message,Noun,[Signal],mensaje,
message body,Noun,,,
message thread,Noun,"Alternative to ""conversation""",,
messaging,Noun,[Orbot],mensajería,
meta search engine,,,,
metadata,Noun,"Metadata (or ""data about data"") is everything about a piece of information, apart from the information itself. So the content of a message is not metadata, but who sent it, when, where from, and to whom, are all examples of metadata. Legal systems often protect content more than metadata: for instance, in the United States, law enforcement needs a warrant to listen to a person's telephone calls, but claims the right to obtain the list of who you have called far more easily. However, metadata can often reveal a great deal, and will often need to be protected as carefully as the data it describes. (Source EFF) [Signal]",,
method,,,,
microphone,Noun,[Signal],,
middle relay,Noun,,,
migrate,Verb,[Signal],,
miniLock,Noun,,,
minimize,Verb,Minimize a window,,
ministreaming library,Noun,[I2P],,
minute,Noun,,,
mirror,Noun,,,
miscellaneous,Adjective,,,
missing,,,,
mixed content,Noun,,,
mobile,Adjective,,móvil,
mobile data,Noun,,datos móviles,Cuando se usa la red celular para conectar con el Proveedor de Servicio de Internet
mobile devices,,,,
mobile notifications,Noun,,,
mobile number,Noun,,,
modal,Adjective,,,
mode,Noun,[Globaleaks] [Orbot],modo,
modes,,,,
module,Noun,,,
money order,,,,
monitor,,,,
month,Noun,,,
mount,Verb,,,
mouse,Noun,,,
move,Verb,,,
multi-boot,Noun,,,
multimedia,Adjective,[Signal],multimedia,
mute,Noun,[Signal],,
mute,Verb,,,
name,,,,
name,Noun,,,
nameserver,Noun,,,
nearly,,,,
neighborhood,Noun,,,
network,,,,
network,Noun,[Signal] [Orbot],red,
network admin,Noun,,,
network administrator,Noun,,,
network request,Noun,,,
networking,Noun,,,
new,Adjective,,,
nickname,Noun,,nombre de usuario,
"nickname, nick",Noun,[Orbot],nombre de usuario,
node,Noun,[Orbot],nodo,
non-financial,,,,
non-private,,,,
non-profit organization,,,,
nonprofits,,,,
note,Noun,,,
notification,Noun,[Globaleaks] [Signal],notificación,
notify,Verb,,,
obfuscate,Verb,"[Orbot] Transforming of a section of code or program to make it totally unintelligible to a human reader, even if helped by software tools.",ofuscar,
obfuscation,Noun,"Transformation of a section of code or program to make it totally unintelligible to a human reader, even if helped by software tools.",,
obfuscation layer,Noun,"Related to data transmission
[Tor]",,
offline,Adjective,[Signal],"fuera de línea / desconectado, -a",
onboarding,Noun,,,
once,,,,
onion service,Noun,[Tor],,
online,,,,
online,Adjective,[Signal],"en línea / conectado, -a",
open,Adjective,,,
open,Verb,,,
open source,Noun,[Orbot],código abierto,
open-source,Adjective,[Orbot],de código abierto,
opened,Verb,,,
operate,,,,
operator,Noun,,,
opt,,,,
optical,Adjective,,,
optimization,Noun,[Orbot],optimización,
optimize,Verb,[Signal] [Orbot],optimizar,
option,Noun,,,
optional,Adjective,,,
options,,,,
or via,,,,
order,Verb,[Globaleaks],,
organizations,,,,
organize,Verb,,,
other,Adjective,,,
outer volume,Noun,,,
outgoing,Adjective,[Signal],,
output,Noun,,,
overlay,Noun,,,
overview,,,,
overview page,,,,
owner,Noun,,,
ownership,Noun,,,
pack,,,,
package,Noun,,,
package manager,Noun,,,
padding,Noun,[Orbot],,
pager,Noun,[Signal],,
paid,,,,
pair,Verb,"To link devices, using bluetooth for example. [Signal]",,
paper,Noun,,,
paperwork,,,,
paravirtualization,Noun,"""Paravirtualization"" An efficient and lightweight virtualization technique originally introduced by the Xen Project and later adopted by other virtualization platforms.",paravirtualización,
parent,Adjective,,,
parse,Verb,,,
part,Noun,,,
partial,Adjective,,,
partially,Adverb,,,
partition,Noun,"""Disk partitioning or disk slicing[1] is the creation of one or more regions on a hard disk or other secondary storage, so that an operating system can manage information in each region separately."" -https://en.wikipedia.org/wiki/Disk_partitioning",partición,"""Una partición de disco, en mantenimiento, es el nombre genérico que recibe cada división presente en una sola unidad física de almacenamiento de datos."" -https://es.wikipedia.org/wiki/Partici%C3%B3n_de_disco"
passcode,Noun,A user-chosen and device-specific password. [Signal],,
passphrase,Noun,A computer-generated set of 6-10 random words used as the primary authentication for Peerio accounts. [Signal],"Frase contraseña, clave de acceso",
password,Noun,"A secret meant to be memorized, and meant to limit access to something so that only someone who knows the password can gain access. It might limit access to an online account, a device, or something else. A long password based on multiple words may also be called a ""passphrase"" to remind us that it's not just one ""word."" A main password to unlock other passwords in a password manager or password safe application is often called a ""master password.”
Source EFF.",contraseña,
passwords,Noun,,,
paste,Noun,,,
paste,Verb,,,
path,Noun,,,
payload,Noun,,,
payment,,,,
peer,Noun,,,
peer reviewed,Adjective,,,
peer-to-peer,,,,
peers,Noun,,,
pending,Adjective,[Signal],,
penetration test,Noun,,,
perceived performance,Noun,,,
performance,Noun,,,
permission,Noun,[Signal] [Orbot],permiso,
persistence,Adjective,,,
persistence,Noun,,,
persistence partition,Noun,,,
persistent,Adjective,,,
persistent overlay,Noun,,,
persistent storage,Noun,[Tails],,
persistent volume,Noun,,,
phishing,Noun,,fraude informático para obtener información confidencial,
physical surveillance,Noun,,seguimiento,
pin,Verb,"Pin a tab, a site in a browser.",,
ping,Noun,[Globaleaks],,
please,Adverb,,,
please mail,,,,
pluggable transports,Noun,,,
plugin,Noun,"A piece of software that modifies another software application, changing how it works or what it can do. Often add-ons can add privacy or security features to web browsers or email software. Some add-ons are malware, so be careful to install only those that are reputable and from official sources. (Synonyms: add-on, extension)(Source: EFF)",complemento,"(Sinónimos: adición, extensión)"
policies,Noun,,,
policies,Verb,,,
policy,Noun,,,
policymakers,,,,
popup,Noun,,,
popup window,Noun,,,
port,Noun,[Signal] [Globaleaks] [Orbot],puerto,https://es.wikipedia.org/wiki/Puerto_de_red
portable,Adjective,,,
postponed,Adjective,[Globaleaks],,
predecessor attack,Noun,,,
preenchido,,,,
preference,Noun,[Globaleaks],,
preferences,Noun,[Globaleaks] [Signal],Preferencias,
preferences page,Noun,[Globaleaks],,
preferred,,,,
prevent,,,,
prevent,Verb,,,
prevents,,,,
preview,Noun,[Globaleaks],,
preview,Verb,[Signal],,
privacy,,,,
privacy,Noun,[Signal] [Orbot],privacidad,
privacy advocates,,,,
privacy notice,Noun,,,
privacy officer,Noun,,,
privacy-enhancing,,,,
private,,,,
private,Adjective,,,
private browsing,,,,
private key (secret key),Noun,,clave privada,
privoxy,Noun,,,
probing,Verb,,,
process,,,,
process,Noun,,,
process,Verb,[Signal],,
processed,Adjective,,,
processor,,,,
profile,Noun,[Signal],,
program,Noun,,,
proof,Noun,,,
proofs,Noun,,,
properly,Adverb,,,
protects,,,,
protocol,Noun,"[Orbot] A communications protocol is a way of sending data between programs or computers. Software programs that use the same protocol can talk to each other: so web browsers and web servers speak the same protocol, called ""http"". Some protocols use encryption to protect their contents. The secure version of the http protocol is called ""https"". Another example of an encrypted protocol used by many different programs is OTR (Off-the-Record), a protocol for secure  messaging. (Source EFF)",protocolo,"Un protocolo de comunicaciones es una manera de enviar data entre programas o computadoras. Los programas de software que utilizan el mismo protocolo pueden conversar entre ellos: digamos, los navegador web y los servidores hablan con el mismo protocolo llamado ""http"". Algunos protocolos usan cifrado para proteger sus contenidos. La versión segura de protocolo http se llama ""https"". Otro ejemplo de un protocolo cifrado utilizado por otros diferentes programas es el OTR (Off The Record/Fuera de Record), un protocolo para mensaje seguro instantáneo."
prototype,Noun,,prototipo,
provide,,,,
provider,Noun,,,
providers,,,,
proxied,Adjective,,,
proxied site,Noun,,,
proxy,Noun,[Orbot],proxy,"""Un proxy, o servidor proxy, en una red informática, es un servidor —programa o dispositivo—, que hace de intermediario en las peticiones de recursos que realiza un cliente (A) a otro servidor (C). Por ejemplo, si una hipotética máquina A solicita un recurso a C, lo hará mediante una petición a B, que a su vez trasladará la petición a C; de esta forma C no sabrá que la petición procedió originalmente de A. Esta situación estratégica de punto intermedio le permite ofrecer diversas funcionalidades: control de acceso, registro del tráfico, restricción a determinados tipos de tráfico, mejora de rendimiento, anonimato de la comunicación, caché web, etc. Dependiendo del contexto, la intermediación que realiza el proxy puede ser considerada por los usuarios, administradores o proveedores como legítima o delictiva y su uso es frecuentemente discutido."" (Fuente: https://es.wikipedia.org/wiki/Servidor_proxy)"
proxy,Verb,[Orbot],proxyficar,
proxy test,Noun,,,
proxychains,,,,
public account ID,Noun,The Martus account's public identifier,Identificación pública de cuenta,
public code,Noun,,Código público,
public key,Noun,,clave pública,
public key / public account key,Noun,[Martus] The Martus account's public key,Clave pública / Clave pública de cuenta,
public key infrastructure,Noun,,,
publicly,,,,
publish,,,,
publish,Verb,,,
pull,Noun,9,,
pull,Verb,"In the context of commits (GitHub, GitLab etc.)",,
purpose,,,,
push framework,Noun,[Signal],,
push notification,Noun,[Signal],,
quality-wise,,,,
qube,Noun,[QubesOS] A user-friendly term for a VM in Qubes OS.,qube,"Since this concept is closely related to the actual product name, it is kept untranslated, but a proper explanation when appropriate is recommended"
question,Verb,,,
questionaire,Noun,,,
queue,Verb,"To form or wait in a line. ""Queued"" messages may be waiting to be sent for example. [Signal]",,
quit,Verb,[Signal],,
range,,,,
range,Noun,[Globaleaks],,
read receipt,Noun,[Signal],notificación de lectura,
read-only,Adjective,,,
reader,Noun,,,
receipt,,,,
receipt,Noun,[Globaleaks],,
receive,Verb,,,
receiver,Noun,,receptor,
recipient,Noun,[Globaleaks] [Signal],,
recommend,,,,
recommend,Verb,,,
reconnect,Verb,,,
record,Noun,,Expediente,
record,Verb,,"registrar, grabar",
records,,,,
recover,Verb,"Recover data, an account, etc.",recuperar,
recover an amount,Verb,"Recover money that you have spent, invested, or lent, you get the amount back.",,
redact,,,,
redacted,Verb,,,
reenter,Verb,,,
referral code,Noun,,,
refund,,,,
refunded,,,,
register,Verb,,,
regular,Adjective,,regular,
regular expression,Noun,,,
reinstall,Verb,[Signal],,
reject,,,,
relay,,,,
relay,Noun,[Orbot],repetidor,
relay,Verb,[Signal],,
relay directory,Noun,,directorio de repetidores,
relay node,Noun,[Orbot],nodo de repetidor,
relays,,,,
relays,Noun,,,
release,Noun,,,
release,Verb,,,
release candidate,Noun,,,
release notes,Noun,[Signal],,
relink,Verb,[Signal],,
reload,,,,
reload,Verb,[Globaleaks],,
rely,,,,
remaining,Adjective,,,
remains,,,,
remove,Verb,,,
rename,Verb,,,
render,Verb,,,
rendering,Adjective,,,
rendering,Noun,,,
rent,,,,
report,,,,
report,Noun,[Globaleaks],,
report,Verb,[Signal],,
reporting,,,,
repository,Noun,,,
request,,,,
request,Noun,[Globaleaks],solicitar,
request,Verb,,,
required,,,,
required fields,,,,
requires,,,,
rescan,Verb,,,
research,,,,
researchers,,,,
resend,Verb,,,
reserve,,,,
reset,Noun,,restablecimiento,
reset,Verb,[Globaleaks] [Signal] [Orbot],restablecer,
resolver,Noun,,,
resources,,,,
restart,Noun,,,
restart,Verb,[Globaleaks] [Signal] [Orbot],reiniciar,
restore,Verb,[Signal] [Orbot],restaurar,
restrict,,,,
restricted route,Noun,,,
restriction,Noun,,,
retained,Verb,,,
retrieve,Verb,(from server),descargar,
review,Verb,,,
revision,Noun,,,
revokation certificate,Noun,,,
revoke,Verb,,revocar,
revoke ,Verb,,revocar,
revoked,Adjective,,,
ring,Verb,[Signal],,
rip,Verb,,,
robust,,,,
role,Noun,[Globaleaks],,
rooftop,Noun,,azotea,
room,Noun,,,
root,Adjective,,,
root,Verb,,,
root domain,Noun,,,
"root, root directory",Noun,[Orbot],"raíz, directorio raíz",
route,Noun,,,
route,Verb,[Orbot],enrutar,"(wikipedia usa encaminar, pero encaminamiento no nos gustó)"
router,Noun,,,
router console,Noun,,,
router console ,Noun,,,
routing,Noun,,enrutamiento,
row,Noun,,,
rule,Noun,,,
ruleset,Noun,,,
run,,,,
run,Verb,,,
running,,,,
safe,,,,
safely,,,,
safely,Adverb,,,
safety number,Noun,[Signal],,
sandbox,Noun,,,
sanitize,Verb,,,
save,Verb,[Globaleaks],guardar,
scale,Verb,[Signal],,
scan,Verb,[Orbot],escanear,
scope,Noun,[Globaleaks],,
score,Noun,,,
scour,Verb,,,
scramble,Verb,,,
scroll,Verb,[Signal],,
scroll bar,Noun,,,
search,,,,
search,Verb,[Signal],buscar,
search engine,Noun,[Orbot],motor de búsqueda,
search index,Noun,,,
search provider,Noun,,,
second,Noun,,segundo,
secure,,,,
secure,Adjective,[Signal] [Orbot],segura,Masculino: seguro
secure,Verb,[Signal],,
secureApp,Noun,Name of the application.,,
securely,Adverb,,,
security,,,,
security,Noun,[Orbot],seguridad,
security background,Noun,,historial de seguridad,
security level,Noun,,nivel de seguridad,
security log,Noun,,,
security vulnerability,Noun,,,
seed,Verb,,,
select,Verb,,seleccionar,
selected,Adjective,,"seleccionado, -a",
selection,Noun,,selección,
selector,Noun,[Globaleaks] [Signal],,
sell,,,,
sell,Verb,,,
send,Verb,,enviar,
sender,Noun,[Signal],,
separate,Adjective,,"seperado, -a",
separate,Verb,,,
server,Noun,[Globaleaks] [Signal] [Orbot],servidor,
service,Noun,,servicio,
service provider,Noun,,,
session,Noun,[Signal],sesión,
set,Noun,,,
set,Verb,,establecer,Sinónimo: fijar
set up,,,,
set up,Verb,,configurar,
setting,Verb,"P.Ex. ""Error setting new password""",,
setup,Noun,,configuración,
share,,,,
share,Noun,,,
share,Verb,,compartir,
shortly,,,,
shovel coal,,,,
shovel coal (slang word),,,,
show,Verb,,mostrar,
shown,Verb,,,
shut down,Verb,,apagar,
shutdown,Noun,,apagar,
shutting down,Verb,[Globaleaks],,
sidebar,Noun,,barra lateral,
sideload,Verb,x,,
sign,Noun,,,
sign,Verb,,firmar,
sign in,Verb,[Globaleaks],iniciar sesión,
sign out,Verb,,cerrar sesión,
sign up,,,,
signature,Noun,,firma,
signed,Adjective,,"firmado, -a",
signing key,Noun,,,
signup form,Noun,,,
similar,,,,
single,,,,
site,Noun,Website,sitio,Sinónimo: lugar
site operator,Noun,,,
size,,,,
size,Noun,,tamaño,
sizing up,,,,
slider,Noun,[Signal],,
small,,,,
smartphone,Noun,,,
snail mail,,,,
software,,,,
software,Noun,[Globaleaks] [Signal],,
source,,,,
source,Noun,[Globaleaks],fuente,
spam,Noun,,,
specific,,,,
specified,,,,
specify,Verb,,,
spend,,,,
spends,,,,
spin,Verb,,,
split,Verb,,,
split GPG,Noun,"""Split GPG"" is the name of a feature. For reference: https://www.qubes-os.org/doc/split-gpg/",Separación de GPG,"Cuando se refiere a la función específica de Qubes, se mantiene sin traducir. Cuando se trata de explicar el concepto, se propone usar Separación de GPG (¿Podría ser GPG Separado?)."
split bar,Noun,,,
split package,Noun,,,
sponsor,Noun,,,
sponsor,Verb,,,
spoof,Verb,,,
spoofing,Noun,,,
spooled,Adjective,[Globaleaks] context: spooled emails,,
spreadsheet,Noun,,,
staff,,,,
staffing,,,,
standalone,Adjective,[Signal],independiente,
standard,Adjective,[Orbot],estándar,
standard,Noun,,,
start,Noun,,"comienzo, principio",
start,Verb,[Globaleaks],"comenzar, empezar, arrancar",
startup,Noun,,arrancar,
state,Noun,,,
statements,,,,
statistics,Noun,,estadísticas,
status,,,,
status,Noun,[Globaleaks],estado,
stay,Verb,,,
stay in,Verb,,,
sticker,Noun,[Signal],,
stickers,,,,
stolen,,,,
stop,Verb,,,
storage,Noun,[Signal],almacenamiento,
stream,Noun,,flujo,
streaming library,Noun,,,
strip,Verb,,remover,"Si bien ""strip"" es literalmente ""desnudar"", en el contexto es equivalente al español ""remover"", parecido al significado de ""strip"" en ""strip the clothes"" (quitarse la ropa), ""strip the key"" sería ""remover/quitar la clave""."
stuff,,,,
subject,Noun,[Globaleaks],sujeto,
subkey,Noun,,subclave,
subkeys,Noun,,,
submission,Noun,[Globaleaks],sumisión,
submit,Verb,[Signal],someter,
submitter,Noun,[GlobaLeaks],,
submitting,,,,
subscription,Noun,,suscripción,
substatus,Noun,[GlobaLeaks],,
such as,,,,
suggested,Adjective,,,
suggestion,Noun,,,
suitable,Adjective,,,
summary,,,,
summary,Noun,,Resúmen,
summary_large_image,,,,
superuser,Noun,Synonym: root,,
support,Noun,"[Signal] As in ""support page"" or ""customer support.""",asistencia,(Sinónimo: soporte)
support,Verb,,asistir,(Sinónimo: soportar)
support portal,Noun,,,
supported,Adjective,,asistido,(Con ayuda o soporte técnico)
supporting,,,,
surveillance,,,,
surveillance,Noun,[Orbot],vigilancia,
sustainability,,,,
sustainability,Noun,,,
swarm,Noun,,,
swipe,Verb,"Swipe up, swipe down [Signal]",,
switch,Noun,,,
sync,Verb,[Signal],,
synthesis,Noun,Repaso y conclusión. En plural es Síntesis también.,síntesis,
sys-firewall,Noun,,,
system log,Noun,,,
system's clock,Noun,,,
t-shirt,,,,
tab,Noun,,,
tackle ambitious projects,,,,
tag,Noun,,nombre de indentificación,
tag,Verb,,,
tagging attack,Conjunction,http://www.i2p2.de/how_threatmodel.html#tagging,,
tap,Verb,,pulsar,
tap to explore,Verb,,,
tarball,Noun,,,
target,Noun,,objetivo,
taskbar,Noun,,barra de tareas,
tax-deductibility,,,,
tax-deductible,,,,
tax-exempt,,,,
taxes,,,,
team,Noun,,,
template,Noun,[Globaleaks],plantilla,"Inicialmente, consideramos ""plantilla"", pero en algunos países de LATAM tiene una connotación demasiado física, como stencil, se propuso ""modelo"". Volvimos a plantilla basandonos en diferentes glosarios existentes."
template-based VM,Noun,"[QubesOS] ""Template-Based Virtual Machine""Any VM which depends on a TemplateVM for its root filesystem.",máquina virtual basada en una plantilla,"Este término al parecer se utiliza solo para explicar que hay diferentes orígenes para un AppVM, por lo que puede traducirse."
templates,Noun,,,
terminal,Noun,,,
terms of service,Noun,,,
test bed,Noun,,,
tethering,Noun,[Orbot],tethering,"""Se denomina anclaje a red o tethering al proceso por el cual un dispositivo móvil con conexión a Internet actúa como pasarela para ofrecer acceso a la red a otros dispositivos, cualesquiera que estos sean, asumiendo dicho dispositivo móvil un papel similar al de un módem o enrutador inalámbrico."" (Fuente: https://es.wikipedia.org/wiki/Tethering)"
text,Noun,,,
text area,Noun,,área de texto,
text format,Noun,,formato de texto,
thank-you,,,,
thanks,,,,
theme,Noun,[Signal],temática,
third-party,Adjective,,,
third-party service,,,,
third-party service providers,,,,
thread,Noun,"A message ""thread"" is also a ""conversation""",,
threat model,Noun,"A way of narrowly thinking about the sorts of protection you want for your data. It's impossible to protect against every kind of trick or attacker, so you should concentrate on which people might want your data, what they might want from it, and how they might get it. Coming up with a set of possible attacks you plan to protect against is called threat modeling. Once you have a threat model, you can conduct a risk analysis. (Synonyms: Threat modeling) (Source: EFF)",,
thresholds,Noun,,,
throttling,Noun,,,
thumbnail,Noun,[Signal],,
thumbs up icon,Noun,"As in the emoji called by ""(y)"" or "":thumbsup:""",,
ticket,Noun,,,
time out,Verb,,,
timeout,Noun,[Signal],Expiración,
timer,Noun,"in computer security, a threat is a potential event that could undermine your efforts to defend your data. Threats can be intentional (conceived by attackers), or they could be accidental (you might leave your computer turned on and unguarded). Source EFF.",,
timestamp,Noun,"[Signal] Metadata (or ""data about data"") is everything about a piece of information, apart from the information itself. So the content of a message is not metadata, but who sent it, when, where from, and to whom, are all examples of metadata. Legal systems often protect content more than metadata: for instance, in the United States, law enforcement needs a warrant to listen to a person's telephone calls, but claims the right to obtain the list of who you have called far more easily. However, metadata can often reveal a great deal, and will often need to be protected as carefully as the data it describes. (Source EFF)",marca de tiempo,
timezone,Noun,,,
timing attack,Noun,,,
tip,Noun,[Globaleaks] [Signal],Consejo,
title,Noun,[Signal],título,
title bar,Noun,,,
to,Adverb,,,
to ,Adverb,,,
to stand up,,,,
toggle,Noun,,,
toggle,Verb,To switch back and forth between two options (ex: on/off) [Signal],Activar / Desactivar,
token,,,,
token,Noun,,Credencial,
tool,Noun,,,
tool ,,,,
toolbar,Noun,[Orbot],barra de tareas,
tools,Noun,,herramientas,
torification,Noun,[Orbot],torificación,
torify,Verb,[Orbot],torificar,
tortification,Noun,,torificación,
towards,,,,
track,,,,
tracker,Noun,,,
tracking,Noun,,,
trade,,,,
traffic,,,,
traffic,Noun,[Orbot],tráfico,
traffic analysis attack,Conjunction,,,
traffic analysis attack,Noun,[Orbot],,
traffic-blocking browser extension,Noun,"When you visit a website, your browser sends some information to that site's operators -- your IP address, other information about your computer, and cookies that link you to previous visits using that browser, for instance. If the website includes images and content taken from other web servers, that same information is sent to other websites as part of downloading or viewing the page. Advertising networks, analytics providers, and other data collectors may gather information from you in this way.
You can install additional software that runs alongside your browser and will limit how much information is leaked to third-parties in this way. The most well-known examples are programs that block advertisements. EFF offers a tool called Privacy Badger which is another traffic-blocking extension.
Source EFF.",,
trainer,Noun,,"entrenador, -a",
training,Noun,"(awareness raising session - concientización, sensibilización)","entrenamiento, capacitación, formación, talleres",
transparent,Adjective,,,
transport encryption,Noun,"Encrypting data as it travels across the network, so that others spying on the network cannot read it.
Synonyms: transport-layer encryption.
Source EFF.",,
transport layer encryption,Noun,"Encrypting data as it travels across the network, so that others spying on the network cannot read it.
Synonyms: Transport encryption.
Source EFF.",,
transport layer security,Noun,"The technology that permits you to maintain a secure, encrypted connection between your computer and some of the websites and Internet services that you visit. When you're connected to a website through this technology, the address of the website will begin with HTTPS rather than HTTP. Officially, its name was changed to Transport Layer Security (TLS) in 1999, but many people still use the old name, Secure Sockets Layer (SSL).
Synonyms: Secure Sockets Layer (SSL).
Source EFF.",,
trash,Noun,,,
trashcan icon,Noun,,,
tray,Noun,,,
triggered,,,,
troubleshooting,Noun,,,
trust,Noun,,,
trust,Verb,,,
trust on first use,Noun,"TOFU, https://en.wikipedia.org/wiki/Trust_on_first_use",,
tunnel,Noun,,túnel,
tunnel,Verb,,,
tunneling,Adjective,,,
tunneling,Noun,,,
turn off,Verb,,desactivar,
turn on,Verb,,activar,
tweet,Noun,,,
tweet,Verb,,,
two-factor authentication (2FA),Noun,"""Something you know, and something you have."" Login systems that require only a username and password risk being broken when someone else can obtain (or guess) those pieces of information. Services that offer two-factor authentication also require you to provide a separate confirmation that you are who you say you are. The second factor could be a one-off secret code, a number generated by a program running on a mobile device, or a device that you carry and that you can use to confirm who you are. Companies like banks, and major internet services like Google, Paypal and Twitter now offer two-factor authentication.
Synonyms: two-step verification, multi-factor authentication.
Source EFF.",,
two-step verification,Noun,"""Something you know, and something you have."" Login systems that require only a username and password risk being broken when someone else can obtain (or guess) those pieces of information. Services that offer two-factor authentication also require you to provide a separate confirmation that you are who you say you are. The second factor could be a one-off secret code, a number generated by a program running on a mobile device, or a device that you carry and that you can use to confirm who you are. Companies like banks, and major internet services like Google, Paypal and Twitter now offer two-factor authentication. (Synonyms: Two-factor authentication, multi-factor authentication) (Source EFF)",autenticación de dos factores,
type,Noun,,,
type,Verb,,,
unable,Adjective,[Globaleaks],,
unabled,Adjective,,incapaz,
unavailable,Adjective,[Globaleaks],no disponible,
unblock,Verb,[Signal],,
uncheck,Verb,,,
unchoke,Verb,,,
undelete software,Noun,"Most devices let you delete data from them; For instance, you can drag a file to the Trash icon, or press delete in a photo album. But deletion does not always mean that the original data is gone. Undelete programs are applications that can be used by the device's owner, or others with access to the device, to restore some data. Undelete programs are useful for those who accidentally delete their own data, and to those whose data might have been sabotaged, such as a photographer who has been compelled to remove images from their camera. However, those same programs can be a threat to anyone who wants to permanently erase confidential data.
Source EFF.",,
undo,Verb,,,
unexpected,Adjective,,inesperado,
unfollow,Verb,,,
uninstall,Verb,,desinstalar,
unit test,Noun,http://en.wikipedia.org/wiki/Unit_test,,
unknown,Adjective,,"desconocido, -a",
unless,,,,
unlink,Verb,[Signal],,
unlock,Verb,,,
unlocked,Adjective,,,
unmount device,Verb,,desmontar dispositivo,
"unmount, unmounting",Verb,,desmontar,
unpack,Verb,,desempaquetar,
unparseable,Adjective,,,
unpin,Verb,"Unpin a tab, a site in a browser.",,
unreachable,Adjective,,inalcanzable,
unrecognized,Adjective,,irreconocible,
unrecognized ,Adjective,,,
unrestricted,,,,
unsafe,Adjective,,"inseguro, -a",
untrusted,Adjective,,,
up-to-date,Adjective,,está-al-día,
update,,,,
update,Noun,[Signal],actualizador,
update,Verb,[Signal],actualizar,
updates,,,,
upgrade,Noun,[Signal],,
upgrade,Verb,[Signal],,
upload,Noun,[Globaleaks] [Orbot],subida,
upload,Verb,[Globaleaks] [Orbot],subir,
uploader,Noun,,,
uploading,Noun,,,
upstream proxy,Noun,,,
uptime,Noun,,,
user,Noun,,usuario,
user ID,Noun,user identification,identificación de usuario,
user agent,Noun,,,
user data,Noun,,datos de usuario,
user guide,Noun,,Guía de usuario,
user manual,Noun,,manual de usuario,
user settings,Noun,,Configuraciones de usuario,
username,,,,
username,Noun,[Globaleaks] [Orbot],nombre de usuario,
users,,,,
validation,,,,
variable,Noun,,variable,
"vcard, v-card",Noun,,,
verification,Noun,[Signal],verificación,
verified,Adjective,[Signal],"verificado, -a",
verify,Verb,[Signal],,
version,Noun,[Signal],,
version,Verb,Create a new version of a record or file while still maintaining past versions of the file.,versión,
versioned,Adjective,,versionad@,
video chat,Noun,,,
view,Noun,,visión,
view,Verb,,ver,
viewport,Noun,,,
volume,Noun,,volumen,
volunteer,Noun,,voluntario,
volunteers,,,,
vulnerability,Noun,,vulnerabilidad,
vulnerable,Adjective,,vulnerable,
wallet,Noun,,cartera,
warning,Noun,,advertencia,
watch,Verb,,,
watch list,Noun,,,
watching,,,,
watermark,Noun,,,
wear leveling,Noun,"Some forms of digital storage, like the flash memory used in solid-state drives (SSD) and USB sticks, can wear out if overwritten many times. Wear leveling is a method that spreads the writing of data evenly across all of the media to prevent one part of it being overwritten too many times. Its benefit is that it can make devices last longer. The danger for security-conscious users is that wear leveling interferes with secure erase programs, which deliberately try to overwrite sensitive files with junk data in order to permanently erase them. Rather than trusting secure erase programs with files stored on SSD or USB flash drives, it can be better to use full-disk encryption. Encryption avoids the difficulty of secure erasing by making any file on the drive difficult to recover without the correct passphrase.
Source EFF.",,
web,Noun,,,
web browser,Noun,[Orbot],navegador web,
web connectivity,Noun,,conectividad de la Web,
"web connectivity, connectivity",Noun,[Orbot],conectividad de la Web,
web interface,Noun,,interfaz de Web,
webmail provider,Noun,,proveedor de correo electrónico,
webserver,Noun,,,
website,,,,
website,Noun,,página web,
week,Noun,,,
which,,,,
whistleblower,Noun,[Globaleaks],,
whistleblowing,Noun,[Globaleaks],,
whitelist,Noun,,,
whole device,Noun,As in “whole device encryption.”,,
wildcards,Noun,,,
window,Noun,,ventana,
wipe,Verb,,,
