term,pos,comment,de
running,,,
safe,,,
safely,,,
safely,Adverb,,
safety number,Noun,[Signal],
sandbox,Noun,,Sandkasten
sanitize,Verb,,
save,Verb,[Globaleaks],speichern
scale,Verb,[Signal],
scan,Verb,[Orbot],
scope,Noun,[Globaleaks],
score,Noun,,
scour,Verb,,
scramble,Verb,,
scroll,Verb,[Signal],
scroll bar,Noun,,
search,,,
search,Verb,[Signal],suchen
search engine,Noun,[Orbot],
search index,Noun,,Suchindex
search provider,Noun,,
second,Noun,,
secure,,,
secure,Adjective,[Signal] [Orbot],sicher
secure,Verb,[Signal],
secureApp,Noun,Name of the application.,
securely,Adverb,,
security,,,
security,Noun,[Orbot],Sicherheit
security background,Noun,,Sicherheitshintergrund
security level,Noun,,Sicherheitsstufe
security log,Noun,,Sicherheitsprotokoll
security vulnerability,Noun,,
seed,Verb,,
select,Verb,,auswählen
selected,Adjective,,ausgewählt
selection,Noun,,Auswahl
selector,Noun,[Globaleaks] [Signal],
sell,,,
sell,Verb,,
send,Verb,,[ver]senden
sender,Noun,[Signal],
separate,Adjective,,
separate,Verb,,
server,Noun,[Globaleaks] [Signal] [Orbot],Server
service,Noun,,
service provider,Noun,,
session,Noun,[Signal],
set,Noun,,
set,Verb,,einstellen
set up,,,
set up,Verb,,Einrichten
setting,Verb,"P.Ex. ""Error setting new password""",
setup,Noun,,
share,,,
share,Noun,,
share,Verb,,
shortly,,,
shovel coal,,,
shovel coal (slang word),,,
show,Verb,,
shown,Verb,,
shut down,Verb,,Herunterfahren
shutdown,Noun,,
shutting down,Verb,[Globaleaks],
sidebar,Noun,,Seitenleiste
sideload,Verb,x,
sign,Noun,,
sign,Verb,,signieren
sign in,Verb,[Globaleaks],Einloggen
sign out,Verb,,
sign up,,,
signature,Noun,,Signatur
signed,Adjective,,
signing key,Noun,,
signup form,Noun,,
similar,,,
single,,,
site,Noun,Website,"Standort, Seite / Internetseite"
site operator,Noun,,
size,,,
size,Noun,,Größe
sizing up,,,
slider,Noun,[Signal],
small,,,
smartphone,Noun,,Smartphones
snail mail,,,
software,,,
software,Noun,[Globaleaks] [Signal],Software
source,,,
source,Noun,[Globaleaks],Quelle
spam,Noun,,Spam
specific,,,
specified,,,
specify,Verb,,angeben
spend,,,
spends,,,
spin,Verb,,
split,Verb,,teilen
split GPG,Noun,"""Split GPG"" is the name of a feature. For reference: https://www.qubes-os.org/doc/split-gpg/",
split bar,Noun,,
split package,Noun,,
sponsor,Noun,,
sponsor,Verb,,
spoof,Verb,,
spoofing,Noun,,Manipulation / Vortäuschung
spooled,Adjective,[Globaleaks] context: spooled emails,
spreadsheet,Noun,,
staff,,,
staffing,,,
standalone,Adjective,[Signal],
standard,Adjective,[Orbot],
standard,Noun,,
start,Noun,,
start,Verb,[Globaleaks],starten
startup,Noun,,
state,Noun,,
statements,,,
statistics,Noun,,
status,,,
status,Noun,[Globaleaks],Status
stay,Verb,,
stay in,Verb,,
sticker,Noun,[Signal],
stickers,,,
stolen,,,
stop,Verb,,
storage,Noun,[Signal],Speicherplatz
stream,Noun,,
streaming library,Noun,,Streaming-Bibliothek
strip,Verb,,
stuff,,,
subject,Noun,[Globaleaks],Betreff
subkey,Noun,,Teilschlüssel
subkeys,Noun,,
submission,Noun,[Globaleaks],Einreichung
submit,Verb,[Signal],Absenden
submitter,Noun,[GlobaLeaks],Einreicher
submitting,,,
subscription,Noun,,
substatus,Noun,[GlobaLeaks],
such as,,,
suggested,Adjective,,vorgeschlagen
suggestion,Noun,,Vorschlag
suitable,Adjective,,passend
summary,,,
summary,Noun,,Zusammenfassung
summary_large_image,,,
superuser,Noun,Synonym: root,Systemverwalter
support,Noun,"[Signal] As in ""support page"" or ""customer support.""",Unterstützung
support,Verb,,unterstützen
support portal,Noun,,
supported,Adjective,,unterstützt
supporting,,,
surveillance,,,
surveillance,Noun,[Orbot],
sustainability,,,
sustainability,Noun,,
swarm,Noun,,
swipe,Verb,"Swipe up, swipe down [Signal]",
switch,Noun,,
sync,Verb,[Signal],
synthesis,Noun,Repaso y conclusión. En plural es Síntesis también.,
sys-firewall,Noun,,
system log,Noun,,
system's clock,Noun,,Systemuhr
t-shirt,,,
tab,Noun,,"Reiter, Tab"
tackle ambitious projects,,,
tag,Noun,,Schlagwort
tag,Verb,,
tagging attack,Conjunction,http://www.i2p2.de/how_threatmodel.html#tagging,
tap,Verb,,
tap to explore,Verb,,
tarball,Noun,,
target,Noun,,Ziel
taskbar,Noun,,Taskleiste
tax-deductibility,,,
tax-deductible,,,
tax-exempt,,,
taxes,,,
team,Noun,,Gruppe
template,Noun,[Globaleaks],Vorlage
template-based VM,Noun,"[QubesOS] ""Template-Based Virtual Machine""Any VM which depends on a TemplateVM for its root filesystem.",
templates,Noun,,
terminal,Noun,,
terms of service,Noun,,
test bed,Noun,,Testumgebung
tethering,Noun,[Orbot],
text,Noun,,
text area,Noun,,Textfeld
text format,Noun,,
thank-you,,,
thanks,,,
theme,Noun,[Signal],
third-party,Adjective,,
third-party service,,,
third-party service providers,,,
thread,Noun,"A message ""thread"" is also a ""conversation""",Unterhaltung
threat model,Noun,"A way of narrowly thinking about the sorts of protection you want for your data. It's impossible to protect against every kind of trick or attacker, so you should concentrate on which people might want your data, what they might want from it, and how they might get it. Coming up with a set of possible attacks you plan to protect against is called threat modeling. Once you have a threat model, you can conduct a risk analysis. (Synonyms: Threat modeling) (Source: EFF)",
thresholds,Noun,,
throttling,Noun,,
thumbnail,Noun,[Signal],
thumbs up icon,Noun,"As in the emoji called by ""(y)"" or "":thumbsup:""",Daumen-hoch-Symbol
ticket,Noun,,
time out,Verb,,
timeout,Noun,[Signal],Zeitüberschreitung
timer,Noun,"in computer security, a threat is a potential event that could undermine your efforts to defend your data. Threats can be intentional (conceived by attackers), or they could be accidental (you might leave your computer turned on and unguarded). Source EFF.",
timestamp,Noun,"[Signal] Metadata (or ""data about data"") is everything about a piece of information, apart from the information itself. So the content of a message is not metadata, but who sent it, when, where from, and to whom, are all examples of metadata. Legal systems often protect content more than metadata: for instance, in the United States, law enforcement needs a warrant to listen to a person's telephone calls, but claims the right to obtain the list of who you have called far more easily. However, metadata can often reveal a great deal, and will often need to be protected as carefully as the data it describes. (Source EFF)",
timezone,Noun,,Zeitzone
timing attack,Noun,,
tip,Noun,[Globaleaks] [Signal],Tipp
title,Noun,[Signal],Titel
title bar,Noun,,
to,Adverb,,
to ,Adverb,,
to stand up,,,
toggle,Noun,,
toggle,Verb,To switch back and forth between two options (ex: on/off) [Signal],
token,,,
token,Noun,,
tool,Noun,,Werkzeug
tool ,,,
toolbar,Noun,[Orbot],Symbolleiste
tools,Noun,,Werkzeuge
torification,Noun,[Orbot],
torify,Verb,[Orbot],
tortification,Noun,,
towards,,,
track,,,
tracker,Noun,,
tracking,Noun,,
trade,,,
traffic,,,
traffic,Noun,[Orbot],
traffic analysis attack,Conjunction,,
traffic analysis attack,Noun,[Orbot],
traffic-blocking browser extension,Noun,"When you visit a website, your browser sends some information to that site's operators -- your IP address, other information about your computer, and cookies that link you to previous visits using that browser, for instance. If the website includes images and content taken from other web servers, that same information is sent to other websites as part of downloading or viewing the page. Advertising networks, analytics providers, and other data collectors may gather information from you in this way.
You can install additional software that runs alongside your browser and will limit how much information is leaked to third-parties in this way. The most well-known examples are programs that block advertisements. EFF offers a tool called Privacy Badger which is another traffic-blocking extension.
Source EFF.",
trainer,Noun,,
training,Noun,"(awareness raising session - concientización, sensibilización)",
transparent,Adjective,,
transport encryption,Noun,"Encrypting data as it travels across the network, so that others spying on the network cannot read it.
Synonyms: transport-layer encryption.
Source EFF.",
transport layer encryption,Noun,"Encrypting data as it travels across the network, so that others spying on the network cannot read it.
Synonyms: Transport encryption.
Source EFF.",
transport layer security,Noun,"The technology that permits you to maintain a secure, encrypted connection between your computer and some of the websites and Internet services that you visit. When you're connected to a website through this technology, the address of the website will begin with HTTPS rather than HTTP. Officially, its name was changed to Transport Layer Security (TLS) in 1999, but many people still use the old name, Secure Sockets Layer (SSL).
Synonyms: Secure Sockets Layer (SSL).
Source EFF.",
trash,Noun,,Papierkorb
trashcan icon,Noun,,Papierkorbsymbol
tray,Noun,,
triggered,,,
troubleshooting,Noun,,
trust,Noun,,Vertrauen
trust,Verb,,
trust on first use,Noun,"TOFU, https://en.wikipedia.org/wiki/Trust_on_first_use",
tunnel,Noun,,
tunnel,Verb,,
tunneling,Adjective,,
tunneling,Noun,,
turn off,Verb,,Ausschalten
turn on,Verb,,Einschalten
tweet,Noun,,
tweet,Verb,,
two-factor authentication (2FA),Noun,"""Something you know, and something you have."" Login systems that require only a username and password risk being broken when someone else can obtain (or guess) those pieces of information. Services that offer two-factor authentication also require you to provide a separate confirmation that you are who you say you are. The second factor could be a one-off secret code, a number generated by a program running on a mobile device, or a device that you carry and that you can use to confirm who you are. Companies like banks, and major internet services like Google, Paypal and Twitter now offer two-factor authentication.
Synonyms: two-step verification, multi-factor authentication.
Source EFF.",Zwei-Faktor-Authentifizierung
two-step verification,Noun,"""Something you know, and something you have."" Login systems that require only a username and password risk being broken when someone else can obtain (or guess) those pieces of information. Services that offer two-factor authentication also require you to provide a separate confirmation that you are who you say you are. The second factor could be a one-off secret code, a number generated by a program running on a mobile device, or a device that you carry and that you can use to confirm who you are. Companies like banks, and major internet services like Google, Paypal and Twitter now offer two-factor authentication. (Synonyms: Two-factor authentication, multi-factor authentication) (Source EFF)",
type,Noun,,Typ
type,Verb,,eingeben
unable,Adjective,[Globaleaks],
unabled,Adjective,,
unavailable,Adjective,[Globaleaks],nicht verfügbar
unblock,Verb,[Signal],
uncheck,Verb,,Abwählen
unchoke,Verb,,
undelete software,Noun,"Most devices let you delete data from them; For instance, you can drag a file to the Trash icon, or press delete in a photo album. But deletion does not always mean that the original data is gone. Undelete programs are applications that can be used by the device's owner, or others with access to the device, to restore some data. Undelete programs are useful for those who accidentally delete their own data, and to those whose data might have been sabotaged, such as a photographer who has been compelled to remove images from their camera. However, those same programs can be a threat to anyone who wants to permanently erase confidential data.
Source EFF.",
undo,Verb,,
unexpected,Adjective,,unerwartet
unfollow,Verb,,
uninstall,Verb,,
unit test,Noun,http://en.wikipedia.org/wiki/Unit_test,
unknown,Adjective,,unbekannt
unless,,,
unlink,Verb,[Signal],
unlock,Verb,,
unlocked,Adjective,,
unmount device,Verb,,
"unmount, unmounting",Verb,,Aushängen
unpack,Verb,,auspacken
unparseable,Adjective,,
unpin,Verb,"Unpin a tab, a site in a browser.",
unreachable,Adjective,,unerreichbar
unrecognized,Adjective,,
unrecognized ,Adjective,,
unrestricted,,,
unsafe,Adjective,,unsicher
untrusted,Adjective,,
up-to-date,Adjective,,aktuell
update,,,
update,Noun,[Signal],Aktualisierung
update,Verb,[Signal],aktualisieren
updates,,,
upgrade,Noun,[Signal],Aktualisierung
upgrade,Verb,[Signal],
upload,Noun,[Globaleaks] [Orbot],
upload,Verb,[Globaleaks] [Orbot],Hochladen
uploader,Noun,,
uploading,Noun,,
upstream proxy,Noun,,
uptime,Noun,,
user,Noun,,Benutzer
user ID,Noun,user identification,Benutzerkennung
user agent,Noun,,
user data,Noun,,
user guide,Noun,,
user manual,Noun,,Benutzerhandbuch
user settings,Noun,,Benutzereinstellungen
username,,,
username,Noun,[Globaleaks] [Orbot],Benutzername
users,,,
validation,,,
variable,Noun,,
"vcard, v-card",Noun,,vCard
verification,Noun,[Signal],Überprüfung
verified,Adjective,[Signal],überprüft
verify,Verb,[Signal],
version,Noun,[Signal],
version,Verb,Create a new version of a record or file while still maintaining past versions of the file.,
versioned,Adjective,,
video chat,Noun,,
view,Noun,,Ansicht
view,Verb,,anzeigen
viewport,Noun,,
volume,Noun,,Datenträger
volunteer,Noun,,
volunteers,,,
vulnerability,Noun,,
vulnerable,Adjective,,
wallet,Noun,,Geldtasche
warning,Noun,,Achtung
watch,Verb,,überwachen
watch list,Noun,,Beobachtungsliste
watching,,,
watermark,Noun,,Wasserzeichen
wear leveling,Noun,"Some forms of digital storage, like the flash memory used in solid-state drives (SSD) and USB sticks, can wear out if overwritten many times. Wear leveling is a method that spreads the writing of data evenly across all of the media to prevent one part of it being overwritten too many times. Its benefit is that it can make devices last longer. The danger for security-conscious users is that wear leveling interferes with secure erase programs, which deliberately try to overwrite sensitive files with junk data in order to permanently erase them. Rather than trusting secure erase programs with files stored on SSD or USB flash drives, it can be better to use full-disk encryption. Encryption avoids the difficulty of secure erasing by making any file on the drive difficult to recover without the correct passphrase.
Source EFF.",
web,Noun,,
web browser,Noun,[Orbot],
web connectivity,Noun,,
"web connectivity, connectivity",Noun,[Orbot],
web interface,Noun,,Weboberfläche
webmail provider,Noun,,
webserver,Noun,,
website,,,
website,Noun,,Webseite
week,Noun,,
which,,,
whistleblower,Noun,[Globaleaks],Hinweisgeber
whistleblowing,Noun,[Globaleaks],Hinweisgeben
whitelist,Noun,,
whole device,Noun,As in “whole device encryption.”,
wildcards,Noun,,
window,Noun,,
wipe,Verb,,
wizard / assistant,Noun,A “getting started” wizard / assitant,Assistent
work,,,
work,Verb,,
work-around,Noun,,
works,,,
world wide web,Noun,,
world-leading,,,
wrapper,Noun,,
x,Noun,,
year,Noun,,
yes,Noun,,
you,,,du (deutsch)
zero day,Noun,"A flaw in a piece of software or hardware that was previously unknown to the maker of the product. Until the manufacturers hear of the flaw and fix it, attackers can use it for their own purposes.
Source EFF.",
zip,Verb,To compress a file or directory so that is is smaller in size. [Signal],
βασικό,,,
βασικό,Adjective,,
εγκαθιστώ,Verb,,
…,Conjunction,"Punctuation, not a conjunction, however “punctionation” is not an option in Transifex",
